trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.5, 'e': 0.506378638074642}",25,0,-71.86340437635988,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
156,False,"{'a': 0.5, 'e': 0.8578030932449878}",25,0,-145.6533456715062,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
157,False,"{'a': 0.5, 'e': 0.9992074342602034}",20,0,-133.19805366592857,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.8959709467909631}",20,0,-154.51803374204616,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
159,False,"{'a': 0.5, 'e': 0.5733695234681091}",20,6,-53.13854250467815,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.11038724383904756}",20,10,-34.959618137197225,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.37962168297153187}",25,0,11.664175202760305,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.7766859820216312}",30,0,-241.8783624249252,"{0: 17, 1: 1, 2: 6, 3: 2, 4: 4}",0
163,False,"{'a': 0.5, 'e': 0.9835904648022342}",20,0,-98.6045358708496,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.9496776978825432}",20,0,-49.64806285986399,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.6832507093535931}",20,0,-32.52993440937643,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.2495401179733381}",30,19,-14.705361154669795,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.24526659730265726}",25,13,12.581204043488716,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.6800234955873388}",25,18,13.930453365930486,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.9482869255037094}",25,0,-161.1587755613444,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
170,False,"{'a': 0.5, 'e': 0.9843766433940419}",30,1,-124.45410120488488,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.7794566276458688}",20,0,-119.98791677535935,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
172,False,"{'a': 0.5, 'e': 0.38369844494974187}",20,8,8.738982414418865,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.10600249902117563}",25,11,13.41896398964473,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.569750334265312}",30,10,-19.639096190670955,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.8940034169437217}",25,0,-210.08025971652964,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
